molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL362694,Cc1ccc(-c2nc(C(=O)N3CCCCC3)n(C)c2-c2ccc(C)cc2)cc1,active,373.50000000000006,4.997040000000005,0.0,3.0,-0.0249285003094281,5.468521082957745
CHEMBL362423,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,429.3510000000001,5.191600000000005,1.0,4.0,-0.03999747034484913,6.585026652029182
CHEMBL362679,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,428.36300000000006,6.123400000000005,1.0,3.0,-0.03908565368665486,6.346787486224656
CHEMBL180949,Cn1c(C(=O)N2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,414.3360000000001,5.687000000000005,0.0,3.0,-0.03596628090862185,5.958607314841775
CHEMBL179981,Cn1c(C(=O)NN2CCOCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,431.3230000000001,4.037900000000003,1.0,5.0,-0.026368210822366414,5.508638306165727
CHEMBL180734,CCCCCCNC(=O)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)n1C,active,430.37900000000013,6.371000000000006,1.0,3.0,-0.038653740532773366,6.267606240177032
CHEMBL181818,Cn1c(C(=O)NC(C)(C)C)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,402.32500000000005,5.589200000000004,1.0,3.0,-0.03692608791724739,6.045757490560675
CHEMBL361181,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)[nH]1,active,415.32400000000007,5.181200000000004,2.0,3.0,-0.012451009197296036,5.221848749616356
CHEMBL361787,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)[nH]1,active,414.3360000000001,6.113000000000004,2.0,2.0,-0.03404666689137076,5.823908740944319
CHEMBL369097,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,463.79600000000016,5.845000000000004,1.0,4.0,-0.041215945342299255,8.214670164989233
CHEMBL179473,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,462.8080000000001,6.776800000000005,1.0,3.0,-0.04122602331588982,8.397940008672037
